,Date,Q
667,1924-07-29,41.4
668,1924-07-30,61.2
669,1924-07-31,41.8
670,1924-08-01,36.4
671,1924-08-02,39.2
672,1924-08-03,55.0
673,1924-08-04,73.3
674,1924-08-05,45.0
675,1924-08-06,36.5
676,1924-08-07,53.7
677,1924-08-08,50.5
678,1924-08-09,58.2
679,1924-08-10,145.0
680,1924-08-11,233.0
681,1924-08-12,80.4
682,1924-08-13,53.3
683,1924-08-14,66.7
684,1924-08-15,119.0
685,1924-08-16,97.6
686,1924-08-17,157.0
687,1924-08-18,129.0
688,1924-08-19,89.2
689,1924-08-20,126.0
690,1924-08-21,111.0
691,1924-08-22,209.0
692,1924-08-23,142.0
693,1924-08-24,112.0
694,1924-08-25,85.3
695,1924-08-26,74.6
696,1924-08-27,70.3
697,1924-08-28,94.6
698,1924-08-29,82.3
699,1924-08-30,79.7
700,1924-08-31,71.3
701,1924-09-01,70.0
702,1924-09-02,113.0
703,1924-09-03,93.8
704,1924-09-04,79.6
705,1924-09-05,92.3
706,1924-09-06,91.8
707,1924-09-07,54.1
708,1924-09-08,98.7
709,1924-09-09,120.0
710,1924-09-10,126.0
711,1924-09-11,108.0
712,1924-09-12,130.0
713,1924-09-13,178.0
714,1924-09-14,224.0
715,1924-09-15,135.0
716,1924-09-16,125.0
717,1924-09-17,182.0
718,1924-09-18,140.0
719,1924-09-19,116.0
720,1924-09-20,110.0
721,1924-09-21,106.0
722,1924-09-22,354.0
723,1924-09-23,285.0
724,1924-09-24,293.0
725,1924-09-25,302.0
726,1924-09-26,286.0
727,1924-09-27,242.0
728,1924-09-28,192.0
729,1924-09-29,346.0
730,1924-09-30,220.0
731,1924-10-01,189.0
732,1924-10-02,410.0
733,1924-10-03,456.0
734,1924-10-04,318.0
735,1924-10-05,234.0
736,1924-10-06,199.0
737,1924-10-07,159.0
738,1924-10-08,311.0
739,1924-10-09,456.0
740,1924-10-10,311.0
741,1924-10-11,262.0
742,1924-10-12,244.0
743,1924-10-13,318.0
744,1924-10-14,268.0
745,1924-10-15,456.0
746,1924-10-16,410.0
747,1924-10-17,234.0
748,1924-10-18,184.0
749,1924-10-19,159.0
750,1924-10-20,174.0
751,1924-10-21,154.0
752,1924-10-22,130.0
753,1924-10-23,126.0
754,1924-10-24,154.0
755,1924-10-25,126.0
756,1924-10-26,140.0
757,1924-10-27,112.0
758,1924-10-28,103.0
759,1924-10-29,92.4
760,1924-10-30,89.8
761,1924-10-31,87.2
762,1924-11-01,96.3
763,1924-11-02,159.0
764,1924-11-03,102.0
765,1924-11-04,92.4
766,1924-11-05,103.0
767,1924-11-06,95.0
768,1924-11-07,179.0
769,1924-11-08,117.0
770,1924-11-09,92.4
771,1924-11-10,88.5
772,1924-11-11,84.6
773,1924-11-12,79.8
774,1924-11-13,76.2
775,1924-11-14,72.6
776,1924-11-15,63.0
777,1924-11-16,89.8
778,1924-11-17,144.0
779,1924-11-18,154.0
780,1924-11-19,108.0
781,1924-11-20,87.2
782,1924-11-21,93.7
783,1924-11-22,105.0
784,1924-11-23,108.0
785,1924-11-24,108.0
786,1924-11-25,104.0
787,1924-11-26,81.0
788,1924-11-27,72.6
789,1924-11-28,67.8
790,1924-11-29,64.2
791,1924-11-30,67.8
792,1924-12-01,119.0
793,1924-12-02,95.0
794,1924-12-03,69.0
795,1924-12-04,105.0
796,1924-12-05,77.4
797,1924-12-06,69.0
798,1924-12-07,64.2
799,1924-12-08,63.0
800,1924-12-09,60.6
801,1924-12-10,58.4
802,1924-12-11,54.0
803,1924-12-12,49.6
804,1924-12-13,48.5
805,1924-12-14,46.5
806,1924-12-15,51.8
807,1924-12-16,44.5
808,1924-12-17,42.5
809,1924-12-18,40.5
810,1924-12-19,39.5
811,1924-12-20,39.5
812,1924-12-21,39.5
813,1924-12-22,38.5
814,1924-12-23,38.5
815,1924-12-24,38.5
816,1924-12-25,38.5
817,1924-12-26,38.5
818,1924-12-27,38.5
819,1924-12-28,38.5
820,1924-12-29,37.5
821,1924-12-30,37.5
822,1924-12-31,37.5
823,1925-01-01,37.5
824,1925-01-02,37.5
825,1925-01-03,38.5
826,1925-01-04,37.5
827,1925-01-05,37.5
828,1925-01-06,32.3
829,1925-01-07,28.0
830,1925-01-08,26.4
831,1925-01-09,25.6
832,1925-01-10,25.6
833,1925-01-11,24.9
834,1925-01-12,24.2
835,1925-01-13,24.2
836,1925-01-14,23.5
837,1925-01-15,22.8
838,1925-01-16,22.8
839,1925-01-17,22.8
840,1925-01-18,22.1
841,1925-01-19,22.1
842,1925-01-20,21.4
843,1925-01-21,21.4
844,1925-01-22,21.4
845,1925-01-23,20.7
846,1925-01-24,20.7
847,1925-01-25,20.7
848,1925-01-26,20.7
849,1925-01-27,20.7
850,1925-01-28,20.7
851,1925-01-29,22.1
852,1925-01-30,20.7
853,1925-01-31,20.0
854,1925-02-01,20.7
855,1925-02-02,20.0
856,1925-02-03,19.3
857,1925-02-04,19.3
858,1925-02-05,19.3
859,1925-02-06,18.6
860,1925-02-07,19.3
861,1925-02-08,20.7
862,1925-02-09,27.2
863,1925-02-10,23.5
864,1925-02-11,20.7
865,1925-02-12,19.3
866,1925-02-13,19.3
867,1925-02-14,19.3
868,1925-02-15,30.4
869,1925-02-16,27.2
870,1925-02-17,28.8
871,1925-02-18,23.5
872,1925-02-19,21.4
873,1925-02-20,30.4
874,1925-02-21,37.5
875,1925-02-22,35.7
876,1925-02-23,28.0
877,1925-02-24,23.5
878,1925-02-25,22.1
879,1925-02-26,20.0
880,1925-02-27,18.6
881,1925-02-28,18.6
882,1925-03-01,18.0
883,1925-03-02,18.0
884,1925-03-03,18.0
885,1925-03-04,18.0
886,1925-03-05,18.0
887,1925-03-06,18.0
888,1925-03-07,18.0
889,1925-03-08,18.0
890,1925-03-09,18.0
891,1925-03-10,18.0
892,1925-03-11,18.0
893,1925-03-12,18.0
894,1925-03-13,16.8
895,1925-03-14,16.2
896,1925-03-15,16.2
897,1925-03-16,15.6
898,1925-03-17,15.0
899,1925-03-18,15.0
900,1925-03-19,15.0
901,1925-03-20,15.0
902,1925-03-21,15.0
903,1925-03-22,15.0
904,1925-03-23,15.0
905,1925-03-24,15.6
906,1925-03-25,15.6
907,1925-03-26,16.2
908,1925-03-27,16.2
909,1925-03-28,16.8
910,1925-03-29,16.8
911,1925-03-30,18.6
912,1925-03-31,18.6
913,1925-04-01,23.5
914,1925-04-02,52.9
915,1925-04-03,37.5
916,1925-04-04,36.9
917,1925-04-05,48.1
918,1925-04-06,42.5
919,1925-04-07,42.5
920,1925-04-08,33.9
921,1925-04-09,24.9
922,1925-04-10,21.4
923,1925-04-11,20.7
924,1925-04-12,57.5
925,1925-04-13,84.7
926,1925-04-14,91.0
927,1925-04-15,59.5
928,1925-04-16,43.5
929,1925-04-17,40.5
930,1925-04-18,32.1
931,1925-04-19,29.6
932,1925-04-20,30.8
933,1925-04-21,75.1
934,1925-04-22,80.7
935,1925-04-23,82.2
936,1925-04-24,102.0
937,1925-04-25,154.0
938,1925-04-26,183.0
939,1925-04-27,146.0
940,1925-04-28,199.0
941,1925-04-29,243.0
942,1925-04-30,124.0
943,1925-05-01,136.0
944,1925-05-02,108.0
945,1925-05-03,196.0
946,1925-05-04,140.0
947,1925-05-05,118.0
948,1925-05-06,126.0
949,1925-05-07,105.0
950,1925-05-08,132.0
951,1925-05-09,204.0
952,1925-05-10,204.0
953,1925-05-11,318.0
954,1925-05-12,144.0
955,1925-05-13,149.0
956,1925-05-14,112.0
957,1925-05-15,93.7
958,1925-05-16,83.4
959,1925-05-17,75.0
960,1925-05-18,70.2
961,1925-05-19,69.0
962,1925-05-20,69.0
963,1925-05-21,69.0
964,1925-05-22,69.0
965,1925-05-23,65.9
966,1925-05-24,86.7
967,1925-05-25,64.6
968,1925-05-26,67.7
969,1925-05-27,74.4
970,1925-05-28,85.9
971,1925-05-29,133.0
972,1925-05-30,164.0
973,1925-05-31,601.0
974,1925-06-01,596.0
975,1925-06-02,611.0
976,1925-06-03,457.0
977,1925-06-04,244.0
978,1925-06-05,179.0
979,1925-06-06,164.0
980,1925-06-07,149.0
981,1925-06-08,142.0
982,1925-06-09,145.0
983,1925-06-10,159.0
984,1925-06-11,126.0
985,1925-06-12,240.0
986,1925-06-13,230.0
987,1925-06-14,169.0
988,1925-06-15,149.0
989,1925-06-16,138.0
990,1925-06-17,126.0
991,1925-06-18,107.0
992,1925-06-19,121.0
993,1925-06-20,115.0
994,1925-06-21,97.6
995,1925-06-22,91.1
996,1925-06-23,96.3
997,1925-06-24,84.6
998,1925-06-25,81.0
999,1925-06-26,110.0
1000,1925-06-27,95.0
1001,1925-06-28,112.0
1002,1925-06-29,110.0
1003,1925-06-30,159.0
1004,1925-07-01,204.0
1005,1925-07-02,140.0
1006,1925-07-03,366.0
1007,1925-07-04,169.0
1008,1925-07-05,140.0
1009,1925-07-06,184.0
1010,1925-07-07,140.0
1011,1925-07-08,210.0
1012,1925-07-09,135.0
1013,1925-07-10,107.0
1014,1925-07-11,105.0
1015,1925-07-12,143.0
1016,1925-07-13,122.0
1017,1925-07-14,173.0
1018,1925-07-15,108.0
1019,1925-07-16,91.1
1020,1925-07-17,85.9
1021,1925-07-18,84.6
1022,1925-07-19,194.0
1023,1925-07-20,154.0
1024,1925-07-21,135.0
1025,1925-07-22,130.0
1026,1925-07-23,216.0
1027,1925-07-24,341.0
1028,1925-07-25,139.0
1029,1925-07-26,135.0
1030,1925-07-27,212.0
1031,1925-07-28,154.0
1032,1925-07-29,144.0
1033,1925-07-30,122.0
1034,1925-07-31,110.0
1035,1925-08-01,107.0
1036,1925-08-02,95.0
1037,1925-08-03,95.3
1038,1925-08-04,243.0
1039,1925-08-05,288.0
1040,1925-08-06,160.0
1041,1925-08-07,204.0
1042,1925-08-08,173.0
1043,1925-08-09,149.0
1044,1925-08-10,144.0
1045,1925-08-11,117.0
1046,1925-08-12,102.0
1047,1925-08-13,95.0
1048,1925-08-14,91.1
1049,1925-08-15,100.0
1050,1925-08-16,110.0
1051,1925-08-17,118.0
1052,1925-08-18,127.0
1053,1925-08-19,159.0
1054,1925-08-20,110.0
1055,1925-08-21,101.0
1056,1925-08-22,140.0
1057,1925-08-23,97.6
1058,1925-08-24,87.2
1059,1925-08-25,89.5
1060,1925-08-26,100.0
1061,1925-08-27,92.4
1062,1925-08-28,91.1
1063,1925-08-29,84.6
1064,1925-08-30,83.4
1065,1925-08-31,92.4
1066,1925-09-01,117.0
1067,1925-09-02,159.0
